['PIZZA BOCCA LUPO','Italian cuisine',1,0]
['VINO VINO WINE BAR',"'Beer, Wine & Spirits'",1,0]
['ROBEE'S FALAFEL','Mediterranean cuisine',1,0]
['TREATBOT','Ice Cream & Frozen Yogurt',1,0]
['BLUSH ICE BAR & RAW KITCHEN','Japanese cuisine',1,0]
['ONA ROLL','Chinese cuisine',1,0]
['LOTERIA TACO BAR','Mexican cuisine',1,0]
['CALIDOG','Hot Dogs',1,0]
['PASTA FRESCA','Italian cuisine',1,0]
['PHONOMENAL NOODLE HOUSE','Vietnamese cuisine',1,0]
['CHOCATOO','Cafes',1,0]
['KONJOE BURGER BAR','American cuisine',1,0]
['BRAY BUTCHER BLOCK & BISTRO','Ecuadorian cuisine',1,0]
['AREPA&MAS','Colombian ',1,0]
['SPUDS USA','American cuisine',1,0]
['LOU'S BEACH SHACK','Seafood',1,0]
['ONI MEXICATESSEN','Mexican cuisine',1,0]
['San Pedro Square Market Bar',"'Beer, Wine & Spirits'",1,0]
['Market Beer Company',"'Beer, Wine & Spirits'",1,0]
['Bellano 2 Coffee','Coffee & Tea',1,0]
